supplier_id,name,contact_info,country
1,Sphinx Worldbiz,sphinxworldbiz@company.com,Italy
2,Continental Automotive C...,continentalautomotivec@company.com,Sweden
3,Aryan Imaging & Business...,aryanimagingbusiness@company.com,Netherlands
4,J G Hosiery,jghosiery@company.com,Finland
5,Mukesh & Associates,mukeshassociates@company.com,Canada
6,Hind Rectifiers,hindrectifiers@company.com,United States
7,Medanta the Medicity,medantathemedicity@company.com,Switzerland
8,Shriram Properties,shriramproperties@company.com,Brazil
9,Rp Telebuy Skyshop,rptelebuyskyshop@company.com,Brazil
10,Nesma,nesma@company.com,Egypt
11,Osource India,osourceindia@company.com,Mexico
12,EMC Corporation,emccorporation@company.com,France
13,Flash Forge,flashforge@company.com,United Kingdom
14,Finastra,finastra@company.com,Finland
15,JK Trust Gram Vikas Yoja...,jktrustgramvikasyoja@company.com,Netherlands
16,Ever Electronics,everelectronics@company.com,India
17,ICS,ics@company.com,South Africa
18,Kidzee,kidzee@company.com,United Kingdom
19,Jaipur National Universi...,jaipurnationaluniversi@company.com,United States
20,C.G. Marketing,cgmarketing@company.com,United Kingdom
21,Infotech,infotech@company.com,France
22,Hager Electro,hagerelectro@company.com,Austria
23,Old World Hospitality,oldworldhospitality@company.com,Czech Republic
24,Bonfiglioli Transmission...,bonfigliolitransmission@company.com,United Kingdom
25,"Ecos (india), Mobility A...",ecosindiamobilitya@company.com,United States
26,iNurture Education Solut...,inurtureeducationsolut@company.com,France
27,Lotus Herbals,lotusherbals@company.com,Chile
28,TEXILA AMERICAN UNIVERSI...,texilaamericanuniversi@company.com,Brazil
29,ACC,acc@company.com,Czech Republic
30,Union Bank of India,unionbankofindia@company.com,Italy
31,Mahavir Die Casters,mahavirdiecasters@company.com,South Africa
32,Praxis Services,praxisservices@company.com,Sweden
33,Aegon Life Insurance,aegonlifeinsurance@company.com,Austria
34,Everest Masala,everestmasala@company.com,Austria
35,Vijay Sales,vijaysales@company.com,Chile
36,Nissan,nissan@company.com,Norway
37,Amps Electrical Facility...,ampselectricalfacility@company.com,Nigeria
38,Gulf Contracting,gulfcontracting@company.com,Poland
39,Shri Balaji Buildmate,shribalajibuildmate@company.com,Japan
40,Ashiana Homes,ashianahomes@company.com,Italy
41,Bhima Jewellery,bhimajewellery@company.com,Australia
42,Bosch Power Tools,boschpowertools@company.com,South Korea
43,Urjanet Energy Solutions,urjanetenergysolutions@company.com,Kenya
44,Kyungshin Industrial Mot...,kyungshinindustrialmot@company.com,Germany
45,"Medanta Hospital, Indore",medantahospitalindore@company.com,Egypt
46,Skylark Group,skylarkgroup@company.com,France
47,DGS Technical Services,dgstechnicalservices@company.com,Brazil
48,Reydel Automotive,reydelautomotive@company.com,Italy
49,Universal Hunt,universalhunt@company.com,Poland
50,Airmech WLL,airmechwll@company.com,Austria
51,ESAF Microfinance & Inve...,esafmicrofinanceinve@company.com,Denmark
52,Grind Master Machines,grindmastermachines@company.com,Kenya
53,Crossword Bookstores,crosswordbookstores@company.com,Germany
54,Synergy Property Develop...,synergypropertydevelop@company.com,Poland
55,Amcor Flexibles India,amcorflexiblesindia@company.com,Italy
56,Almoayyed International ...,almoayyedinternational@company.com,South Africa
57,Toshiba Transmission & D...,toshibatransmissiond@company.com,Japan
58,Dhanuka Agritech,dhanukaagritech@company.com,India
59,Hbk Contracting Company ...,hbkcontractingcompany@company.com,Nigeria
60,Mobilink,mobilink@company.com,Canada
61,Clavax Technologies,clavaxtechnologies@company.com,Norway
62,Anand Rathi: Online Stoc...,anandrathionlinestoc@company.com,Poland
63,Avi Solar Energy,avisolarenergy@company.com,Egypt
64,CMS IT Services,cmsitservices@company.com,Argentina
65,Jewelex India,jewelexindia@company.com,China
66,Bahwan Engineering Compa...,bahwanengineeringcompa@company.com,Spain
67,Outsource Partners Inter...,outsourcepartnersinter@company.com,Nigeria
68,Vignan Global Gen School...,vignanglobalgenschool@company.com,Nigeria
69,Essel Propack,esselpropack@company.com,Finland
70,Fibcom India,fibcomindia@company.com,Finland
71,Ashtech  INDIA,ashtechindia@company.com,South Korea
72,R.K. Group,rkgroup@company.com,Egypt
73,Farnek Services,farnekservices@company.com,Egypt
74,Sheth Creators,shethcreators@company.com,Denmark
